token_id,market,equipment,boost,location,skill,minted,image,owner
3,miata,Jackhammer,Shockwave,Jungle Night,130,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW3.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
4,miata,Jackhammer,Shockwave,Jungle Night,130,2/12/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW4.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
6,miata,Jackhammer,Shockwave,Deep Mine,130,7/8/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW6.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
7,miata,Jackhammer,Shockwave,Lunar Moon,130,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW7.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
8,miata,Jackhammer,Shockwave,Lunar Moon,130,2/25/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW8.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
9,miata,Jackhammer,Rapid Strike,City Night,130,10/26/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHR9.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
16,miata,Jackhammer,Rapid Strike,Lunar Moon,123,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHR16.png,terra14yuj6q5rps3zp9vn7yr7uzlfrrakkkcrhxzsz8
17,miata,Jackhammer,Turbocharged,City Night,120,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT17.png,terra1yplwrktw2u047nv9eupdjghef0t4a7zu4dmntt
18,miata,Jackhammer,Turbocharged,City Night,120,1/4/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT18.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
19,miata,Jackhammer,Turbocharged,Jungle Night,120,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT19.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
20,miata,Jackhammer,Turbocharged,Jungle Night,120,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT20.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
21,miata,Jackhammer,Turbocharged,Deep Mine,120,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT21.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
22,miata,Jackhammer,Turbocharged,Deep Mine,120,2/28/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT22.png,terra1cef7xf36d97yplkhyuefc7ut4d0e93hx295e8x
23,miata,Jackhammer,Turbocharged,Lunar Moon,120,6/29/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT23.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
24,miata,Jackhammer,Turbocharged,Lunar Moon,120,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHT24.png,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
25,miata,Jackhammer,Standard,City Night,117,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST25.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
26,miata,Jackhammer,Standard,City Night,117,11/13/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST26.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
27,miata,Jackhammer,Standard,Jungle Night,117,8/6/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST27.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
28,miata,Jackhammer,Standard,Jungle Night,117,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST28.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
29,miata,Jackhammer,Standard,Deep Mine,117,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST29.png,terra19s2vr9ma4pdq2a4xf64xtf4rl2v0r0hmdjxqw9
31,miata,Jackhammer,Standard,City Night,117,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHST31.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
33,miata,Pick & Shovel,Jedi,City Night,113,2/18/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ33.png,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
34,miata,Pick & Shovel,Jedi,City Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ34.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
36,miata,Pick & Shovel,Jedi,City Night,113,5/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ36.png,terra154ns0jnajcjvc4wjjrza020gaux2lzd7rwaf45
37,miata,Pick & Shovel,Jedi,City Night,113,4/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ37.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
38,miata,Pick & Shovel,Jedi,City Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ38.png,terra19s2vr9ma4pdq2a4xf64xtf4rl2v0r0hmdjxqw9
39,miata,Pick & Shovel,Jedi,City Night,113,9/4/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ39.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
40,miata,Pick & Shovel,Jedi,City Night,113,1/6/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ40.png,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
41,miata,Pick & Shovel,Jedi,City Night,113,8/14/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ41.png,terra10ykaa6ychv2tdw0y0a9exycuz3ncy8w3p58cn6
43,miata,Pick & Shovel,Jedi,City Night,113,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ43.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
44,miata,Pick & Shovel,Jedi,City Night,113,11/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ44.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
46,miata,Pick & Shovel,Jedi,City Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ46.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
47,miata,Pick & Shovel,Jedi,City Night,113,1/6/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ47.png,terra1dcn4vem7d27j600qanan6xdnan3n9y9jjtdv0k
48,miata,Pick & Shovel,Jedi,City Night,113,11/13/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ48.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
50,miata,Pick & Shovel,Jedi,City Night,113,3/11/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ50.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
52,miata,Pick & Shovel,Jedi,City Night,113,11/13/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ52.png,terra1tg4hauztww3ctrv3fuzph96j0w0dca7de9k00k
53,miata,Pick & Shovel,Jedi,City Night,113,7/8/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ53.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
54,miata,Pick & Shovel,Jedi,City Night,113,7/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ54.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
55,miata,Pick & Shovel,Jedi,City Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ55.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
56,miata,Pick & Shovel,Jedi,Jungle Night,113,9/4/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ56.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
